,StateName,Plan_Shorthand,Year,BenefitsPerPerson
554,Colorado,Colorado Judges,2004,410263.15789473685
555,Colorado,Colorado Judges,2005,490666.6666666667
556,Colorado,Colorado Judges,2006,571058.8235294118
557,Colorado,Colorado Judges,2007,705750.0
558,Colorado,Colorado Judges,2008,757062.5
559,Colorado,Colorado Judges,2009,981000.0
560,Colorado,Colorado Judges,2010,1177166.6666666667
561,Colorado,Colorado Judges,2011,1197153.8461538462
562,Colorado,Colorado Judges,2012,1361083.3333333333
563,Colorado,Colorado Judges,2013,1578363.6363636365
564,Colorado,Colorado Judges,2014,1326642.857142857
565,Colorado,Colorado Judges,2015,1326733.3333333333
566,Colorado,Colorado Judges,2016,1652692.3076923077
567,Colorado,Colorado Judges,2017,1713785.7142857143
568,Colorado,Colorado Judges,2018,1561375.0
569,Colorado,Colorado Judges,2019,1340600.0
570,Colorado,Colorado Judges,2020,1483210.5263157894
571,Colorado,Colorado Judges,2021,1405500.0
572,Colorado,Colorado Judges,2022,853947.3684210526
575,Colorado,Colorado P&F,2000,1388.0114431023521
576,Colorado,Colorado P&F,2001,1243.5869346733668
577,Colorado,Colorado P&F,2002,2189.1956614206724
578,Colorado,Colorado P&F,2003,3240.3265885694
579,Colorado,Colorado P&F,2004,4108.606557377049
580,Colorado,Colorado P&F,2005,6104.515050167224
581,Colorado,Colorado P&F,2006,9113.543788187373
582,Colorado,Colorado P&F,2007,12127.65449773324
583,Colorado,Colorado P&F,2008,10356.339612032612
584,Colorado,Colorado P&F,2009,12800.220446403968
585,Colorado,Colorado P&F,2010,22637.405088583986
586,Colorado,Colorado P&F,2011,25299.551878354203
587,Colorado,Colorado P&F,2012,25907.703647944414
588,Colorado,Colorado P&F,2013,31646.563059224543
589,Colorado,Colorado P&F,2014,32389.8535260452
590,Colorado,Colorado P&F,2015,32417.066573597418
591,Colorado,Colorado P&F,2016,33818.60835950713
592,Colorado,Colorado P&F,2017,33925.14076849607
593,Colorado,Colorado P&F,2018,65809.09292412618
594,Colorado,Colorado P&F,2019,65435.07494145199
595,Colorado,Colorado P&F,2020,66020.59538784067
596,Colorado,Colorado P&F,2021,57752.402497027346
597,Colorado,Colorado P&F,2022,67617.02897494816
600,Connecticut,Connecticut MERS,2000,33972.01563090886
601,Connecticut,Connecticut MERS,2001,38999.47392648122
602,Connecticut,Connecticut MERS,2002,43299.07891119054
603,Connecticut,Connecticut MERS,2003,48317.1574627403
604,Connecticut,Connecticut MERS,2004,53801.889644746785
605,Connecticut,Connecticut MERS,2005,62294.2486675682
606,Connecticut,Connecticut MERS,2006,67196.11333109469
607,Connecticut,Connecticut MERS,2007,77118.0
608,Connecticut,Connecticut MERS,2008,69063.31513647642
609,Connecticut,Connecticut MERS,2009,64456.574729241875
610,Connecticut,Connecticut MERS,2010,60174.68097373479
611,Connecticut,Connecticut MERS,2011,80100.5020242915
612,Connecticut,Connecticut MERS,2012,115875.62706270628
613,Connecticut,Connecticut MERS,2013,105008.43285648362
